pack_id,chapter_id,session_id,turn_count,token_est,too_long_flag,prompt_injection_flag,pii_email,pii_url,pii_phone,pii_api_key,codeblock_flag,llm_readability_score,penalty
68579dc8-157c-8013-af17-c000f60441e8::68579dc8-157c-8013-af17-c000f60441e8::S23,68579dc8-157c-8013-af17-c000f60441e8,68579dc8-157c-8013-af17-c000f60441e8::S23,1,45,False,False,False,False,True,False,False,95,5
68ae8894-e9cc-8328-a8cc-b03bfad31263::68ae8894-e9cc-8328-a8cc-b03bfad31263::S7,68ae8894-e9cc-8328-a8cc-b03bfad31263,68ae8894-e9cc-8328-a8cc-b03bfad31263::S7,1,46,False,False,False,False,True,False,False,95,5
68e5f5ff-ac90-8331-a605-c3c38725bf47::68e5f5ff-ac90-8331-a605-c3c38725bf47::S4,68e5f5ff-ac90-8331-a605-c3c38725bf47,68e5f5ff-ac90-8331-a605-c3c38725bf47::S4,1,48,False,False,False,False,True,False,False,95,5
68e142f0-bb28-8329-a50e-fbaf34ae665a::68e142f0-bb28-8329-a50e-fbaf34ae665a::S12,68e142f0-bb28-8329-a50e-fbaf34ae665a,68e142f0-bb28-8329-a50e-fbaf34ae665a::S12,1,50,False,False,False,False,True,False,False,95,5
685a38ae-16c8-8013-93d5-bc88f035ce42::685a38ae-16c8-8013-93d5-bc88f035ce42::S20,685a38ae-16c8-8013-93d5-bc88f035ce42,685a38ae-16c8-8013-93d5-bc88f035ce42::S20,2,70,False,False,False,False,True,False,False,95,5
6889410b-2040-8331-83e4-72ec6939c0a1::6889410b-2040-8331-83e4-72ec6939c0a1::S3,6889410b-2040-8331-83e4-72ec6939c0a1,6889410b-2040-8331-83e4-72ec6939c0a1::S3,1,81,False,False,False,False,True,False,False,95,5
68da6cf7-f9f8-832d-8638-47e6605d73b2::68da6cf7-f9f8-832d-8638-47e6605d73b2::S1,68da6cf7-f9f8-832d-8638-47e6605d73b2,68da6cf7-f9f8-832d-8638-47e6605d73b2::S1,2,89,False,False,False,False,True,False,False,95,5
6901f7da-f41c-8328-ad72-62e0b660231e::6901f7da-f41c-8328-ad72-62e0b660231e::S2,6901f7da-f41c-8328-ad72-62e0b660231e,6901f7da-f41c-8328-ad72-62e0b660231e::S2,1,98,False,False,False,False,True,False,False,95,5
68754ba6-d8d0-8013-8b4d-8fb660d1d475::68754ba6-d8d0-8013-8b4d-8fb660d1d475::S12,68754ba6-d8d0-8013-8b4d-8fb660d1d475,68754ba6-d8d0-8013-8b4d-8fb660d1d475::S12,2,112,False,False,False,False,True,False,False,95,5
68d2ea24-6abc-8322-89d4-b976dc73cada::68d2ea24-6abc-8322-89d4-b976dc73cada::S3,68d2ea24-6abc-8322-89d4-b976dc73cada,68d2ea24-6abc-8322-89d4-b976dc73cada::S3,2,112,False,False,False,False,True,False,False,95,5
68d2ea24-6abc-8322-89d4-b976dc73cada::68d2ea24-6abc-8322-89d4-b976dc73cada::S4,68d2ea24-6abc-8322-89d4-b976dc73cada,68d2ea24-6abc-8322-89d4-b976dc73cada::S4,2,112,False,False,False,False,True,False,False,95,5
68d2ea24-6abc-8322-89d4-b976dc73cada::68d2ea24-6abc-8322-89d4-b976dc73cada::S5,68d2ea24-6abc-8322-89d4-b976dc73cada,68d2ea24-6abc-8322-89d4-b976dc73cada::S5,2,112,False,False,False,False,True,False,False,95,5
68e672fb-8e8c-8330-ba85-eaa5253ec1f7::68e672fb-8e8c-8330-ba85-eaa5253ec1f7::S1,68e672fb-8e8c-8330-ba85-eaa5253ec1f7,68e672fb-8e8c-8330-ba85-eaa5253ec1f7::S1,2,114,False,False,False,False,True,False,False,95,5
68e5174b-99c4-832c-99bf-049a7719b81d::68e5174b-99c4-832c-99bf-049a7719b81d::S2,68e5174b-99c4-832c-99bf-049a7719b81d,68e5174b-99c4-832c-99bf-049a7719b81d::S2,2,117,False,False,False,False,True,False,False,95,5
689cd235-6cb8-8323-92c3-8e59a2a1efcc::689cd235-6cb8-8323-92c3-8e59a2a1efcc::S1,689cd235-6cb8-8323-92c3-8e59a2a1efcc,689cd235-6cb8-8323-92c3-8e59a2a1efcc::S1,2,127,False,False,False,False,True,False,False,95,5
68b407ef-1d58-8326-bf0c-b0b70bf779fe::68b407ef-1d58-8326-bf0c-b0b70bf779fe::S8,68b407ef-1d58-8326-bf0c-b0b70bf779fe,68b407ef-1d58-8326-bf0c-b0b70bf779fe::S8,2,135,False,False,False,False,True,False,False,95,5
688bc454-c4e0-8327-bfcc-858333004ff7::688bc454-c4e0-8327-bfcc-858333004ff7::S1,688bc454-c4e0-8327-bfcc-858333004ff7,688bc454-c4e0-8327-bfcc-858333004ff7::S1,1,143,False,False,False,False,True,False,False,95,5
68d444c0-70d4-8331-9f94-b794bf5a11a5::68d444c0-70d4-8331-9f94-b794bf5a11a5::S4,68d444c0-70d4-8331-9f94-b794bf5a11a5,68d444c0-70d4-8331-9f94-b794bf5a11a5::S4,1,149,False,False,False,False,True,False,False,95,5
68f30e6c-08dc-8327-8580-c3f665600b50::68f30e6c-08dc-8327-8580-c3f665600b50::S8,68f30e6c-08dc-8327-8580-c3f665600b50,68f30e6c-08dc-8327-8580-c3f665600b50::S8,1,151,False,False,False,False,True,False,False,95,5
67ee736e-5e14-8013-8ef6-01a1e1844255::67ee736e-5e14-8013-8ef6-01a1e1844255::S39,67ee736e-5e14-8013-8ef6-01a1e1844255,67ee736e-5e14-8013-8ef6-01a1e1844255::S39,2,156,False,False,False,False,True,False,False,95,5
689854b8-1d48-8326-9c7e-f677e4f65dbd::689854b8-1d48-8326-9c7e-f677e4f65dbd::S1,689854b8-1d48-8326-9c7e-f677e4f65dbd,689854b8-1d48-8326-9c7e-f677e4f65dbd::S1,2,156,False,False,False,False,True,False,False,95,5
68b6700b-3c38-832f-b9b1-e313638b0431::68b6700b-3c38-832f-b9b1-e313638b0431::S3,68b6700b-3c38-832f-b9b1-e313638b0431,68b6700b-3c38-832f-b9b1-e313638b0431::S3,2,158,False,False,False,False,True,False,False,95,5
687545bc-9c5c-8013-a958-653114b9d36f::687545bc-9c5c-8013-a958-653114b9d36f::S22,687545bc-9c5c-8013-a958-653114b9d36f,687545bc-9c5c-8013-a958-653114b9d36f::S22,2,161,False,False,False,False,True,False,False,95,5
68e2cde8-cbb4-8326-a752-e17f93100450::68e2cde8-cbb4-8326-a752-e17f93100450::S6,68e2cde8-cbb4-8326-a752-e17f93100450,68e2cde8-cbb4-8326-a752-e17f93100450::S6,1,165,False,False,False,False,True,False,False,95,5
68b400fa-ab58-8324-9639-ada95921b2ac::68b400fa-ab58-8324-9639-ada95921b2ac::S7,68b400fa-ab58-8324-9639-ada95921b2ac,68b400fa-ab58-8324-9639-ada95921b2ac::S7,2,173,False,False,False,False,True,False,False,95,5
687545bc-9c5c-8013-a958-653114b9d36f::687545bc-9c5c-8013-a958-653114b9d36f::S8,687545bc-9c5c-8013-a958-653114b9d36f,687545bc-9c5c-8013-a958-653114b9d36f::S8,2,176,False,False,False,False,True,False,False,95,5
68a29fd4-cecc-8330-82f1-8b7b1c867457::68a29fd4-cecc-8330-82f1-8b7b1c867457::S4,68a29fd4-cecc-8330-82f1-8b7b1c867457,68a29fd4-cecc-8330-82f1-8b7b1c867457::S4,2,179,False,False,False,False,True,False,False,95,5
68c69b51-e580-832a-bae0-879ea5a2f3a3::68c69b51-e580-832a-bae0-879ea5a2f3a3::S3,68c69b51-e580-832a-bae0-879ea5a2f3a3,68c69b51-e580-832a-bae0-879ea5a2f3a3::S3,2,186,False,False,False,False,True,False,False,95,5
688898f7-83fc-8324-b4a4-baf353205da8::688898f7-83fc-8324-b4a4-baf353205da8::S1,688898f7-83fc-8324-b4a4-baf353205da8,688898f7-83fc-8324-b4a4-baf353205da8::S1,5,187,False,False,False,False,True,False,False,95,5
68e7d7f1-b2a0-832a-92bf-020d25f680a7::68e7d7f1-b2a0-832a-92bf-020d25f680a7::S12,68e7d7f1-b2a0-832a-92bf-020d25f680a7,68e7d7f1-b2a0-832a-92bf-020d25f680a7::S12,2,191,False,False,False,False,True,False,False,95,5
68de6776-b2e0-832f-86b0-0aca4a381e2f::68de6776-b2e0-832f-86b0-0aca4a381e2f::S1,68de6776-b2e0-832f-86b0-0aca4a381e2f,68de6776-b2e0-832f-86b0-0aca4a381e2f::S1,2,202,False,False,False,False,True,False,False,95,5
67ee736e-5e14-8013-8ef6-01a1e1844255::67ee736e-5e14-8013-8ef6-01a1e1844255::S38,67ee736e-5e14-8013-8ef6-01a1e1844255,67ee736e-5e14-8013-8ef6-01a1e1844255::S38,2,205,False,False,False,False,True,False,False,95,5
687541c5-91bc-8013-8e23-81828468d606::687541c5-91bc-8013-8e23-81828468d606::S12,687541c5-91bc-8013-8e23-81828468d606,687541c5-91bc-8013-8e23-81828468d606::S12,2,211,False,False,False,False,True,False,False,95,5
68754ba6-d8d0-8013-8b4d-8fb660d1d475::68754ba6-d8d0-8013-8b4d-8fb660d1d475::S15,68754ba6-d8d0-8013-8b4d-8fb660d1d475,68754ba6-d8d0-8013-8b4d-8fb660d1d475::S15,2,218,False,False,False,False,True,False,False,95,5
689e39cb-ec44-832e-9a64-7eba35b96ad5::689e39cb-ec44-832e-9a64-7eba35b96ad5::S8,689e39cb-ec44-832e-9a64-7eba35b96ad5,689e39cb-ec44-832e-9a64-7eba35b96ad5::S8,1,220,False,False,False,False,True,False,False,95,5
